Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10
58.80145188953979,,42.00981389305986,34.68039703467236,49.962258628095825,,,89.95458788323056,41.15242061832426,
69.91087476815825,9.554215386036546,6.436369088127137,31.287815934415843,37.96649930632635,,82.00564872031379,,75.7976159906006,91.38249168601111
,96.09097422366777,59.64326869209966,84.7104020990443,,84.10902680536633,,70.28812830899976,1.7783427562932164,4.117690491102621
,25.17672867680111,83.73237223108303,88.02311026324962,16.886930756498543,97.20555400219494,84.69682305023296,,,80.07797288750268
20.50189523942888,,89.24863863290551,67.6558651546646,58.63586139898459,78.22572097133597,60.911562376633555,,65.11424263613482,99.11918671375408
10.606287447626572,76.82539346627851,20.052744388322687,5.367515427165371,,19.70305063723703,34.42330056279081,93.39949409407413,72.20668011669599,12.64027624257914
72.72401436844548,79.79233971149834,50.23952343652898,55.92137735196149,6.191018519581948,,22.966899144304943,21.04902224433528,57.35854382130871,14.302591365195283
,,89.53818444612753,69.45129418277548,,47.8855505911721,,33.62040076294682,99.68571068646945,6.683138463554139
47.38457034082185,,25.592093138827067,82.41973026654624,73.4145398346135,61.66369960823228,29.17257109424627,65.94671821230094,61.00515510810508,34.05274712558657
44.82958244803046,38.16509502019972,,31.142865886197047,28.865545494447463,,41.00445859807127,41.46033628489923,50.23623554624255,
1.910694787246603,28.582738847718293,,50.523054084914634,39.039811413050074,41.12358162195196,33.766427535432,,35.382433527072145,56.64854964223945
75.25983372085793,74.02681531406573,,84.90037878830786,63.56173237123271,77.76303394377082,94.9328595618267,87.5602249302185,14.339423252282602,74.11762908646435
60.24485390081266,,52.79053864859401,29.351563269757964,83.11488567392082,93.97255196089525,23.09289325749222,,,25.723427631024045
96.17775753081897,43.772170464986374,92.33503868700184,,,10.45794081834357,,56.136792889177386,86.65747519208514,60.95754284780086
66.43686473564756,88.35387027765857,24.59484435262107,,15.922478762464465,93.84821973096294,,,46.68150963694474,93.94392841237988
60.662961931867635,28.92811403327177,6.401837615878514,68.17127136293418,71.1664215946706,79.73871717092874,,0.8777935173949314,94.20867848216234,
44.91513149317164,78.4506857087421,,22.122798948648803,,33.080271867299636,88.39996873001077,40.87887158381335,69.41974645044358,36.46318002558856
22.53541631926955,75.89536567735904,87.40398003743294,,59.31563654250516,31.17857505088536,,10.34688851678862,72.1186357455198,34.871727568936286
67.01742968926956,41.77853849344335,16.366729055286722,,69.47128788862139,,52.02179665846126,52.50468260124054,60.348358079419626,13.353089543798635
73.57665924519134,22.5768767596083,99.97413066863959,73.65669013092747,17.323332029330274,17.388959069643263,17.489932390009265,45.986097021145824,87.60981203222016,84.34558264524068
