Age_scaled,Salary_scaled,Experience_scaled,Department_Finance,Department_HR,Department_IT,Department_Sales,Position_Junior,Position_Manager,Position_Senior
-1.0453485275693277,-0.30504312858260424,0.3273029803209537,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7276807771418997,1.1050911801783005,1.2624543526665357,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-1.6363582958064036,-1.581768398565068,1.0754240781974194,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3582996719937273,-1.5771671755036762,-0.6078483920246283,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0231856612604375,-0.5652410913405831,-0.4208181175555119,0.0,0.0,0.0,1.0,0.0,1.0,0.0
-1.562482074776769,0.8523819181913886,-0.2337878430863955,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.9493094402308031,-0.8957981219349767,0.7013635292591864,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.8975960855100588,-0.9914891452472415,1.2624543526665357,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-1.4886058537471345,-0.5805963217737892,-0.2337878430863955,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.7276807771418997,1.7441950565869941,0.7013635292591864,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.097061882290072,0.5935523087145909,0.3273029803209537,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5799283350826308,0.8081026547487652,-1.5429997643702102,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.8975960855100588,1.3403001768035172,-0.2337878430863955,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.6538045561122652,-0.9340759728963511,-1.5429997643702102,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.8237198644804243,1.076168348532607,-1.5429997643702102,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.4321758930233618,0.7137709744897556,0.7013635292591864,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.3582996719937273,-1.2576374625282163,-1.7300300388393266,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.244814324349341,0.6298280870305842,0.5143332547900701,0.0,0.0,0.0,1.0,0.0,1.0,0.0
-0.9714723065396932,0.18656632007028898,-0.4208181175555119,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.1709381033197066,-0.3611402069742899,1.6365149016047684,1.0,0.0,0.0,0.0,1.0,0.0,0.0
